country,log_gdp_pc,social_support,life_exp,freedom,generosity,corruption
Namibia,9.121,0.787,56.851,0.669,-0.126,0.830
Turkiye,10.307,0.796,68.663,0.475,-0.077,0.795
Ghana,8.596,0.641,58.763,0.777,0.139,0.881
Pakistan,8.540,0.601,57.313,0.766,0.008,0.787
Niger,7.091,0.590,56.550,0.788,0.032,0.734
Tunisia,9.244,0.730,67.000,0.576,-0.213,0.907
Kenya,8.458,0.690,58.499,0.696,0.288,0.852
Sri Lanka,9.491,0.826,67.150,0.787,-0.030,0.808
Uganda,7.716,0.794,58.913,0.701,0.114,0.857
Chad,7.261,0.722,53.125,0.677,0.221,0.807
Cambodia,8.385,0.747,61.900,0.958,0.073,0.857
Benin,8.103,0.437,56.095,0.743,-0.043,0.576
Myanmar,8.404,0.787,61.388,0.727,0.491,0.658
Bangladesh,8.685,0.544,64.548,0.845,0.005,0.698
Gambia,7.648,0.584,57.900,0.596,0.364,0.883
Mali,7.655,0.593,55.403,0.713,-0.028,0.846
Egypt,9.367,0.726,63.503,0.732,-0.183,0.580
Togo,7.673,0.595,57.449,0.657,0.024,0.740
Jordan,9.130,0.729,67.600,0.770,-0.150,0.687
Ethiopia,7.739,0.782,60.698,0.720,0.273,0.789
Liberia,7.277,0.596,56.700,0.735,0.154,0.830
India,8.759,0.608,60.777,0.897,0.072,0.774
Madagascar,7.290,0.650,58.050,0.522,0.075,0.742
Zambia,8.074,0.694,55.032,0.791,0.098,0.818
Tanzania,7.857,0.653,59.401,0.838,0.182,0.554
Comoros,8.075,0.471,59.425,0.470,-0.014,0.727
Malawi,7.302,0.531,58.475,0.750,0.005,0.749
Botswana,9.629,0.753,54.725,0.742,-0.215,0.830
Congo (Kinshasa),7.007,0.652,55.375,0.664,0.086,0.834
Zimbabwe,7.641,0.690,54.050,0.654,-0.046,0.766
Sierra Leone,7.394,0.555,54.900,0.660,0.105,0.858
Lebanon,9.478,0.530,66.149,0.474,-0.141,0.891
Afghanistan,7.324,0.341,54.712,0.382,-0.081,0.847
